"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"35202";0,33;"Ideal";"I";"IF";61,8;55;891;4,47;4,46;2,76
"35203";0,33;"Ideal";"I";"IF";62,1;55;891;4,44;4,41;2,75
"35204";0,44;"Very Good";"J";"VS1";63,1;57;891;4,87;4,83;3,06
"35205";0,44;"Premium";"J";"VS1";61,9;57;891;4,9;4,83;3,01
"35206";0,44;"Very Good";"J";"VS1";63,2;57;891;4,86;4,82;3,06
"35207";0,33;"Premium";"I";"IF";62;58;891;4,46;4,44;2,76
"35208";0,33;"Ideal";"I";"IF";61,6;55;891;4,47;4,46;2,75
"35209";0,33;"Premium";"I";"IF";59;61;891;4,56;4,49;2,67
"35210";0,33;"Premium";"I";"IF";62,1;58;891;4,43;4,39;2,74
"35211";0,33;"Ideal";"I";"IF";62,2;56;891;4,45;4,42;2,76
"35212";0,33;"Ideal";"I";"IF";61,4;56;891;4,45;4,41;2,72
"35213";0,35;"Very Good";"G";"IF";62,1;54;892;4,53;4,57;2,82
"35214";0,36;"Ideal";"G";"VVS1";60;56;892;4,66;4,69;2,81
"35215";0,32;"Ideal";"E";"VVS1";61,2;55;892;4,4;4,45;2,71
"35216";0,32;"Ideal";"E";"VVS1";61,2;55;892;4,41;4,42;2,7
"35217";0,3;"Ideal";"F";"IF";60,8;56;892;4,35;4,36;2,65
"35218";0,3;"Ideal";"F";"IF";60,9;56;892;4,32;4,35;2,64
"35219";0,41;"Good";"H";"VVS1";62,6;62;892;4,7;4,76;2,96
"35220";0,33;"Very Good";"E";"VVS2";59,8;58,7;893;4,47;4,51;2,68
"35221";0,33;"Very Good";"E";"VVS2";62,3;56;893;4,4;4,44;2,75
"35222";0,33;"Ideal";"D";"VVS2";61,7;55;893;4,46;4,49;2,76
"35223";0,33;"Ideal";"F";"VVS1";61,9;55;893;4,43;4,46;2,75
"35224";0,33;"Ideal";"F";"VVS1";61,4;55;893;4,47;4,52;2,76
"35225";0,33;"Ideal";"F";"VVS1";61,3;55;893;4,46;4,48;2,74
"35226";0,33;"Ideal";"F";"VVS1";61,1;56;893;4,45;4,48;2,73
"35227";0,33;"Ideal";"F";"VVS1";61,7;54;893;4,46;4,49;2,76
"35228";0,46;"Ideal";"I";"VS2";62,2;54,7;893;4,95;4,97;3,09
"35229";0,27;"Ideal";"D";"IF";62,4;56;893;4,15;4,12;2,58
"35230";0,34;"Premium";"E";"VS2";62,7;56;893;4,51;4,48;2,82
"35231";0,34;"Good";"H";"VVS1";64;57;893;4,43;4,38;2,82
"35232";0,58;"Fair";"F";"I1";65,8;56;893;5,23;5,12;3,41
"35233";0,58;"Fair";"F";"I1";66,3;55;893;5,18;5,1;3,41
"35234";0,36;"Very Good";"E";"VS1";60,6;58;894;4,61;4,63;2,8
"35235";0,41;"Ideal";"I";"VVS2";60,7;57;894;4,81;4,84;2,93
"35236";0,39;"Good";"G";"VVS2";63,4;57;894;4,62;4,65;2,94
"35237";0,39;"Ideal";"F";"VS1";60,9;56;894;4,68;4,75;2,87
"35238";0,39;"Premium";"F";"VS1";61,7;58;894;4,69;4,71;2,9
"35239";0,43;"Very Good";"E";"SI1";63,4;56;894;4,82;4,8;3,05
"35240";0,38;"Ideal";"H";"VVS1";62,3;53,3;894;4,63;4,66;2,9
"35241";0,37;"Premium";"F";"VS2";59,2;61;894;4,69;4,63;2,76
"35242";0,37;"Premium";"F";"VS2";59,7;62;894;4,7;4,68;2,8
"35243";0,37;"Premium";"F";"VS2";60,5;59;894;4,67;4,62;2,81
"35244";0,4;"Very Good";"F";"VS1";63,1;56;895;4,68;4,7;2,96
"35245";0,39;"Very Good";"F";"VS1";63,7;57;895;4,63;4,67;2,96
"35246";0,3;"Ideal";"E";"VVS1";60,5;57;895;4,34;4,39;2,64
"35247";0,34;"Ideal";"G";"VVS1";62,5;53;895;4,47;4,49;2,8
"35248";0,3;"Premium";"E";"VVS1";60;60;895;4,35;4,38;2,62
"35249";0,3;"Very Good";"G";"IF";62,9;58;895;4,21;4,25;2,66
"35250";0,3;"Ideal";"E";"VVS1";61,4;56;895;4,33;4,37;2,67
"35251";0,3;"Ideal";"E";"VVS1";61,2;57;895;4,33;4,36;2,66
"35252";0,3;"Very Good";"G";"IF";62,8;57;895;4,27;4,3;2,69
"35253";0,3;"Very Good";"G";"IF";63;53;895;4,24;4,3;2,69
"35254";0,3;"Premium";"E";"VVS1";61,3;59;895;4,28;4,33;2,64
"35255";0,3;"Good";"G";"IF";63,5;55;895;4,26;4,28;2,71
"35256";0,3;"Very Good";"G";"IF";61;62;895;4,32;4,34;2,64
"35257";0,4;"Ideal";"E";"VVS2";61,1;57;895;4,77;4,79;2,92
"35258";0,34;"Ideal";"G";"VVS1";62,1;57;895;4,45;4,47;2,77
"35259";0,3;"Ideal";"G";"IF";62,1;55;895;4,31;4,35;2,69
"35260";0,3;"Ideal";"E";"VVS1";60,6;57;895;4,33;4,35;2,63
"35261";0,3;"Premium";"G";"IF";60;59;895;4,32;4,34;2,6
"35262";0,3;"Ideal";"G";"IF";62,6;57;895;4,28;4,32;2,69
"35263";0,3;"Good";"G";"IF";63,8;55;895;4,24;4,28;2,72
"35264";0,3;"Ideal";"E";"VVS1";61,8;56;895;4,3;4,31;2,66
"35265";0,34;"Ideal";"G";"VVS1";62,1;55;895;4,46;4,49;2,78
"35266";0,3;"Ideal";"G";"IF";61,7;55;895;4,31;4,34;2,67
"35267";0,3;"Ideal";"G";"IF";60,9;57;895;4,29;4,32;2,62
"35268";0,3;"Premium";"G";"IF";61,6;60;895;4,29;4,32;2,65
"35269";0,3;"Very Good";"G";"IF";62,8;57;895;4,28;4,32;2,7
"35270";0,3;"Ideal";"E";"VVS1";60,1;57;895;4,38;4,41;2,64
"35271";0,3;"Ideal";"E";"VVS1";61,5;57;895;4,33;4,35;2,67
"35272";0,3;"Ideal";"G";"IF";61,4;57;895;4,33;4,37;2,67
"35273";0,3;"Ideal";"G";"IF";62;56;895;4,3;4,31;2,67
"35274";0,3;"Premium";"G";"IF";60,2;58;895;4,35;4,39;2,63
"35275";0,32;"Ideal";"F";"VVS1";61,9;56;895;4,41;4,44;2,74
"35276";0,4;"Ideal";"D";"VS2";62,8;57;895;4,68;4,72;2,95
"35277";0,39;"Ideal";"F";"VS1";62,5;57;895;4,66;4,69;2,92
"35278";0,5;"Ideal";"I";"SI2";62,2;53;895;5,11;5,14;3,19
"35279";0,5;"Ideal";"J";"SI1";62,3;55;895;5,07;5,11;3,17
"35280";0,39;"Ideal";"I";"IF";62,3;54;895;4,69;4,71;2,93
"35281";0,35;"Premium";"I";"SI1";62,5;58;472;4,49;4,53;2,82
"35282";0,3;"Good";"H";"SI2";63,9;56;473;4,27;4,24;2,72
"35283";0,3;"Premium";"H";"SI2";60,9;59;473;4,35;4,32;2,64
"35284";0,3;"Premium";"J";"VS2";62,2;58;473;4,3;4,28;2,67
"35285";0,3;"Premium";"J";"VS2";61,6;61;473;4,33;4,28;2,65
"35286";0,3;"Premium";"J";"VS2";60,6;59;473;4,38;4,34;2,64
"35287";0,3;"Very Good";"J";"VS2";63,4;57;473;4,26;4,22;2,69
"35288";0,36;"Premium";"G";"SI2";60,8;58;473;4,57;4,61;2,79
"35289";0,3;"Very Good";"H";"VS2";60,9;61;473;4,32;4,35;2,64
"35290";0,3;"Premium";"H";"VS2";62,3;58;473;4,31;4,33;2,69
"35291";0,36;"Premium";"G";"SI2";62,4;58;473;4,56;4,58;2,85
"35292";0,3;"Premium";"I";"VS1";60,3;58;473;4,32;4,34;2,61
"35293";0,3;"Very Good";"H";"VS2";62,7;59;473;4,22;4,26;2,66
"35294";0,3;"Very Good";"I";"VS1";63;53;473;4,26;4,31;2,7
"35295";0,3;"Premium";"H";"VS2";62,5;59;473;4,23;4,28;2,66
"35296";0,3;"Ideal";"I";"VS1";62,5;57;473;4,29;4,32;2,69
"35297";0,3;"Premium";"H";"VS2";61,8;60;473;4,26;4,31;2,65
"35298";0,3;"Very Good";"I";"VS1";62,9;58;473;4,26;4,29;2,69
"35299";0,3;"Very Good";"I";"VS1";60,8;59;473;4,3;4,32;2,62
"35300";0,3;"Very Good";"H";"VS2";62,5;58;473;4,26;4,28;2,67
"35301";0,3;"Premium";"I";"VS1";61,7;58;473;4,27;4,32;2,65
"35302";0,3;"Very Good";"H";"VS2";61,1;61;473;4,31;4,33;2,64
"35303";0,3;"Good";"H";"VS2";63,5;54;473;4,27;4,3;2,72
"35304";0,3;"Good";"H";"VS2";63,5;59;473;4,2;4,27;2,69
"35305";0,3;"Ideal";"I";"VS1";61;56;473;4,35;4,37;2,66
"35306";0,36;"Premium";"G";"SI2";59,3;59;473;4,62;4,66;2,75
"35307";0,3;"Ideal";"I";"VS1";62,5;54;473;4,29;4,32;2,69
"35308";0,3;"Very Good";"H";"VS2";60,9;61;473;4,27;4,3;2,61
"35309";0,3;"Very Good";"I";"VS1";60,4;58;473;4,34;4,4;2,64
"35310";0,3;"Premium";"I";"VS1";59,8;60;473;4,34;4,36;2,6
"35311";0,4;"Very Good";"H";"VS2";63,1;62;895;4,75;4,66;2,97
"35312";0,36;"Ideal";"F";"VVS2";62,4;55;896;4,54;4,57;2,84
"35313";0,36;"Ideal";"F";"VVS2";61,5;56;896;4,58;4,61;2,82
"35314";0,36;"Ideal";"F";"VVS2";61,7;57;896;4,58;4,61;2,83
"35315";0,37;"Ideal";"E";"VVS2";61,8;54;896;4,61;4,64;2,86
"35316";0,37;"Ideal";"E";"VVS2";62,5;53;896;4,59;4,63;2,88
"35317";0,52;"Ideal";"J";"SI1";61,4;56,4;896;5,15;5,17;3,17
